`id`,`nr-of-accepted-requests`
7158417,14
7164842,6
7170693,54
7189065,6
7212462,94
7215130,15
7222746,7
7228519,20
7240106,48
7249970,2
7260288,6
7304063,11
7306369,1
7306673,3
7326980,4
7420900,4
7432562,4
7489584,12
7537997,1
7570729,66
7607012,2
7617634,69
7654253,4
7666955,6
7722836,2
7738640,3
7751311,7
7753732,35
7769665,3
7808122,1
7835118,7
7883561,5
7952993,6
7980702,3
8012811,1
8017772,56
8125526,12
8137228,2
8169424,1
8339162,1
8405131,11
8532385,1
8532554,3
8566806,6
8576259,7
8634501,80
8688328,47
8734343,4
8776028,16
8784767,1
8818018,16
8875437,3
8875464,9
8905797,14
8906917,3
8913435,2
9121894,17
9232309,14
9268752,3
9282939,2
9343717,3
9344074,20
9352549,6
9400432,5
9478333,15
9511165,2
9570005,4
9626183,316
9650960,2
9658872,107
9687174,8
9701695,2
9706049,250
9709116,8
9727940,17
9745677,1
9755937,1
9862004,6
9908329,1
9930325,1
9961002,7
10053600,4
10084678,155
10138664,2
10188194,3
10196307,1
10199826,6
10233169,1
10296656,40
10301817,31
10377821,4
10379711,36
10388177,3
10412281,6
10425716,3
10435441,12
10520061,11
10521722,56
10526188,4
10548198,71
10574931,2
10576004,12
10585250,13
10660095,2
10733538,1
10777706,3
10784470,13
10803994,1
10814377,14
10815238,8
10817458,50
10832091,5
10832897,1
10832960,3
10936889,15
10953007,13
10963081,1
10964976,2
11061859,2
11072255,5
11107988,5
11120703,3
11127510,48
11132347,2
11139593,33
11144636,3
11165808,1
11176827,1
11182376,5
11197300,1
11227723,2
11228451,4
11238565,1
11291526,12
11318999,2
11323491,15
11338993,2
11473240,7
11494393,72
11554847,1
11605642,2
11622535,81
11668604,4
11680693,1
11702237,3
11706023,5
11707880,3
11735060,1
11737051,13
11744765,7
11746264,1
11753236,10
11761587,1
11784159,5
11785544,1
11850935,1
11854803,2
11912097,2
12170217,4
12192051,3
12315617,1
12316998,1
12402890,2
12520304,1
12582238,7
12586102,1
12653317,10
12666384,82
12682853,9
12715530,3
12740796,3
12746037,7
12806676,2
12814859,25
12821674,2
13061306,3
13071706,10
13095216,335
13128433,2
13334964,15
13368782,1
13393204,3
13403042,75
13430369,6
13462180,29
13480659,1
13481226,9
13489032,5
13494877,6
13509074,3
13523497,2
13537757,1
13539138,6
13570263,2
13603046,1
13613053,16
13615253,1
13621454,2
13636760,1
13642463,3
13679102,2
13719308,2
13737011,1
13747894,2
13759969,3
13837159,4
13865588,1
14000694,1
14101318,7
14116012,15
14210902,9
14263163,12
14286406,7
14457963,39
14505051,3
14515342,20
14545279,26
14682420,106
14771481,24
14773650,8
14847736,1
14880605,2
14897153,1
14959628,4
14989257,2
14995115,5
15017277,1
15022227,615
15080529,6
15125364,1
15195328,3
15246185,3
15500909,6
15509641,2
15525750,26
15536213,2
15592045,21
15623292,3
15627284,6
15676204,21
15710174,16
15718946,2
15778405,15
15794603,5
15867274,2
15962985,9
16030648,1
16154948,6
16174927,3
16230400,3
16534152,1
16647116,38
16741757,34
16782015,19
16792291,32
16837900,3
16988139,5
17020688,3
17081302,2
17296591,174
17328893,4
17472048,3
17539972,4
17593904,50
17753126,3
17865733,2
17867788,14
17924077,42
18006157,18
18013712,2
18022219,54
18029648,8
18054793,25
18236982,5
18257960,25
18260477,139
18272904,3
18313948,2
18429672,9
18655199,1
18674058,2
18781956,31
18810686,1
18821370,42
18869596,2
18904813,259
19047987,4
19320997,1
19644716,2
19696936,3
20029138,3
20138487,2
20450796,15
20532547,1
20666664,3
20682630,5
20737229,11
20752407,7
20844574,5
21058198,107
21065369,3
21125630,2
21187110,7
21618029,2
21629316,2
21784371,2
21864762,1
21908633,1
21921763,4
21924858,3
21971963,4
22041659,3
22042237,26
22045114,10
22046894,52
22047350,63
22050640,4
22054830,21
22056425,1
22056630,2
22076833,3
22077026,16
22084327,1
22105376,59
22110826,26
22208853,2
22402010,10
22833631,7
22946554,2
23428045,1
23458675,4
23471356,2
23600597,1
23620520,18
23775197,2
24136448,3
24265177,1
24919055,6
25037257,1
25037627,1
25045443,7
25830758,2
25858715,1
26108120,1
26550795,6
26965543,1
27299735,1
27428481,2
28119927,2
28178404,1
28317607,8
28338390,1
28376284,1
28992266,5
