`id`,`nr-of-accepted-requests`
7158417,14
7164842,6
7170693,54
7189065,6
7212462,94
7215130,15
7222746,7
7228519,20
7240106,48
7249970,2
7260288,6
7304063,11
7306369,1
7306673,3
7326980,4
7420900,4
7432562,4
7489584,12
7537997,1
7570729,66
7607012,2
7617634,69
7654253,4
7666955,6
7722836,2
7738640,3
7751311,7
7753732,35
7769665,3
7808122,1
7835118,7
7883561,5
7952993,6
7980702,3
8012811,1
8017772,56
8125526,12
8137228,2
8169424,1
8339162,1
8405131,11
8532385,1
8532554,3
8566806,6
8576259,7
8634501,80
8688328,47
8734343,4
8776028,16
8784767,1
8818018,16
8875437,3
8875464,9
8905797,14
8906917,3
8913435,2
9121894,17
9232309,14
9268752,3
9282939,2
9343717,3
9344074,20
9352549,6
9400432,5
9478333,15
9511165,2
9570005,4
9626183,316
9650960,2
9658872,107
9687174,8
9701695,2
9706049,250
9709116,8
9727940,17
9745677,1
9755937,1
9862004,6
9908329,1
9930325,1
9961002,7
10053600,4
10084678,155
10138664,2
10188194,3
10196307,1
10199826,6
10233169,1
10296656,40
10301817,31
10377821,4
10379711,36
10388177,3
10412281,6
10425716,3
10435441,12
10520061,11
10521722,56
10526188,4
10548198,71
10574931,2
10576004,12
10585250,13
10660095,2
10733538,1
10777706,3
10784470,13
10803994,1
10814377,14
10815238,8
10817458,50
10832091,5
10832897,1
10832960,3
10936889,15
10953007,13
10963081,1
10964976,2
11061859,2
11072255,5
11107988,5
11120703,3
11127510,48
11132347,2
11139593,33
11144636,3
11165808,1
11176827,1
11182376,5
11197300,1
11227723,2
11228451,4
11238565,1
11291526,12
11318999,2
11323491,15
11338993,2
11473240,7
11494393,72
11554847,1
11605642,2
11622535,81
11668604,4
11680693,1
11702237,3
11706023,5
11707880,3
11735060,1
11737051,13
11744765,7
11746264,1
11753236,10
11761587,1
11784159,5
11785544,1
11850935,1
11854803,2
11912097,2
12170217,4
12192051,3
12315617,1
12316998,1
12402890,2
12520304,1
12582238,7
12586102,1
12653317,10
12666384,82
12682853,9
12715530,3
12740796,3
12746037,7
12806676,2
12814859,25
12821674,2
13061306,3
13071706,10
13095216,335
13128433,2
13334964,15
13368782,1
13393204,3
13403042,75
13430369,6
13462180,29
13480659,1
13481226,9
13489032,5
13494877,6
13509074,3
13523497,2
13537757,1
13539138,6
13570263,2
13603046,1
13613053,16
13615253,1
13621454,2
13636760,1
13642463,3
13679102,2
13719308,2
13737011,1
13747894,2
13759969,3
13837159,4
13865588,1
14000694,1
14101318,7
14116012,15
14210902,9
14263163,12
14286406,7
14457963,39
14505051,3
14515342,20
14545279,26
14682420,106
14771481,24
14773650,8
14847736,1
14880605,2
14897153,1
14959628,4
14989257,2
14995115,5
15017277,1
15022227,615
15080529,6
15125364,1
15195328,3
15246185,3
15500909,6
15509641,2
15525750,26
15536213,2
15592045,21
15623292,3
15627284,6
15676204,21
15710174,16
15718946,2
15778405,15
15794603,5
15867274,2
15962985,9
16030648,1
16154948,6
16174927,3
16230400,3
16534152,1
16647116,38
16741757,34
16782015,19
16792291,32
16837900,3
16988139,5
17020688,3
17081302,2
17296591,174
17328893,4
17472048,3
17539972,4
17593904,50
17753126,3
17865733,2
17867788,14
17924077,42
18006157,18
18013712,2
18022219,54
18029648,8
18054793,25
18236982,5
18257960,25
18260477,139
18272904,3
18313948,2
18429672,9
18655199,1
18674058,2
18781956,31
18810686,1
18821370,42
18869596,2
18904813,259
19047987,4
19320997,1
19644716,2
19696936,3
20029138,3
20138487,2
20450796,15
20532547,1
20666664,3
20682630,5
20737229,11
20752407,7
20844574,5
21058198,107
21065369,3
21125630,2
21187110,7
21618029,2
21629316,2
21784371,2
21864762,1
21908633,1
21921763,4
21924858,3
21971963,4
22041659,3
22042237,26
22045114,10
22046894,52
22047350,63
22050640,4
22054830,21
22056425,1
22056630,2
22076833,3
22077026,16
22084327,1
22105376,59
22110826,26
22208853,2
22402010,10
22833631,7
22946554,2
23428045,1
23458675,4
23471356,2
23600597,1
23620520,18
23775197,2
24136448,3
24265177,1
24919055,6
25037257,1
25037627,1
25045443,7
25830758,2
25858715,1
26108120,1
26550795,6
26965543,1
27299735,1
27428481,2
28119927,2
28178404,1
28317607,8
28338390,1
28376284,1
28992266,5
12682828,0
11902,0
19010386,0
12908987,0
12798077,0
10947458,0
9906217,0
27623476,0
25070656,0
13520780,0
28401052,0
11588385,0
17411,0
14782669,0
18847237,0
5874,0
13593152,0
13595364,0
10464490,0
6843683,0
10910878,0
19710500,0
3595,0
1474764,0
10172529,0
24495953,0
27326987,0
27406305,0
12226983,0
15548976,0
25051824,0
27194,0
12719568,0
10829314,0
7266288,0
2257240,0
11467831,0
27859042,0
13680016,0
8304,0
20450716,0
24326,0
18469788,0
16310355,0
19185130,0
10396798,0
28625357,0
13742311,0
13640327,0
10631290,0
13464028,0
11802012,0
10955983,0
12749140,0
15471020,0
10435922,0
61117,0
2252680,0
10834528,0
16409333,0
17038695,0
27633284,0
15669545,0
13664602,0
11625417,0
13082203,0
8142691,0
13636819,0
11095632,0
9975034,0
10819648,0
21719074,0
11001304,0
6533556,0
11570176,0
9713,0
18097224,0
4629745,0
9659919,0
13398866,0
13490952,0
4026408,0
15417633,0
13635889,0
4003,0
10282819,0
2447212,0
6196408,0
6816151,0
9912292,0
16423884,0
10280298,0
16428381,0
3814424,0
2662867,0
6210932,0
9078570,0
27676276,0
48951,0
4539094,0
27671937,0
22053762,0
19569279,0
10773454,0
91363,0
8939716,0
4903941,0
14328878,0
28033868,0
79442,0
3683487,0
27977354,0
24729237,0
1027466,0
8296041,0
22095887,0
3706501,0
9983686,0
2978560,0
19717550,0
19761685,0
17941398,0
20390809,0
11183490,0
8117762,0
18903735,0
6476825,0
14627410,0
41849,0
10358518,0
9895007,0
13735930,0
4646758,0
27881432,0
12449377,0
12326365,0
811401,0
17785086,0
9709,0
7461031,0
24272262,0
15363005,0
11402707,0
15205847,0
3961217,0
13544235,0
17070556,0
2661903,0
12630000,0
9726637,0
10451754,0
20163538,0
5555823,0
8515356,0
12670029,0
22052042,0
10649,0
17708574,0
54068,0
7556976,0
18941,0
4142580,0
15239162,0
1819251,0
30761,0
6013073,0
27955513,0
366402,0
14957066,0
11704557,0
4660569,0
10258995,0
348868,0
7294438,0
7810452,0
21174695,0
11265367,0
19085523,0
18937463,0
27496559,0
6278863,0
8427119,0
10410843,0
2862977,0
11474560,0
3631888,0
9717218,0
7308213,0
4540322,0
11175147,0
19594347,0
1927881,0
21044484,0
20435182,0
11362536,0
7924929,0
12197208,0
20873386,0
7190023,0
27777181,0
1261926,0
7940296,0
207212,0
11924541,0
82957,0
569534,0
3063823,0
36313,0
9468307,0
4773093,0
10462,0
62093,0
9026379,0
10812016,0
1500447,0
12092942,0
2513836,0
14698825,0
22141768,0
12229395,0
12761803,0
5152250,0
2365356,0
18059812,0
13097260,0
18790667,0
870927,0
28923864,0
5078978,0
12878383,0
1397125,0
1124381,0
17021738,0
22053634,0
10260382,0
1228020,0
748510,0
122760,0
17332041,0
1328973,0
21312489,0
2255699,0
2771181,0
3659421,0
11212499,0
16846494,0
19612571,0
214552,0
422791,0
124137,0
13740270,0
14027141,0
104483,0
1904790,0
284075,0
21974766,0
16622735,0
22123631,0
1619676,0
114751,0
1892389,0
146205,0
335881,0
11297052,0
6965555,0
603530,0
460773,0
1382032,0
14848865,0
42214,0
13655055,0
7504851,0
20955762,0
306833,0
386790,0
5371237,0
2798946,0
18059452,0
1011413,0
10752463,0
9817959,0
13454056,0
719340,0
338816,0
246730,0
454235,0
8485455,0
4753416,0
24177440,0
22167327,0
30653,0
2922620,0
7013556,0
3592410,0
1524373,0
2739871,0
18415473,0
16770502,0
11512622,0
6299920,0
1436875,0
88390,0
3036595,0
5379586,0
11797084,0
2987164,0
17664209,0
8772689,0
9597076,0
11537177,0
4722740,0
1100704,0
41254,0
4477515,0
24908811,0
28690670,0
20835622,0
15536505,0
6882788,0
4476638,0
28153902,0
10956038,0
5368058,0
13685691,0
3499917,0
201672,0
8847632,0
10854850,0
59582,0
10829089,0
20465270,0
773433,0
107530,0
19581764,0
28851599,0
14057734,0
3296518,0
450059,0
6853230,0
4291112,0
2145058,0
5784154,0
7645899,0
13719548,0
55259,0
2381679,0
3236423,0
3752385,0
176596,0
209924,0
13585659,0
3594572,0
10447564,0
1890840,0
8339915,0
17466008,0
137246,0
6753616,0
772395,0
9703605,0
5472160,0
3708910,0
23249012,0
19615,0
17532093,0
20425918,0
16640920,0
1242075,0
1414836,0
16733587,0
9392393,0
16195282,0
10066441,0
5568720,0
8404580,0
3283518,0
14179437,0
12967267,0
1084208,0
2660015,0
4911527,0
238698,0
5989485,0
2874293,0
579759,0
3641172,0
18250,0
8596480,0
11733127,0
12589909,0
126528,0
11720517,0
17273246,0
7198962,0
3872943,0
1412018,0
22076087,0
19685186,0
2375290,0
4780077,0
14806250,0
7883108,0
25977484,0
8270641,0
2206890,0
9160279,0
2445228,0
6965574,0
20226295,0
28085151,0
17879187,0
94451,0
1214622,0
7305150,0
8670482,0
18993586,0
78782,0
24540619,0
9865676,0
15646653,0
1600439,0
14737226,0
9893161,0
640609,0
10589306,0
21603107,0
9540082,0
9982219,0
7811703,0
726806,0
7361572,0
10192555,0
9704915,0
26783304,0
16988042,0
12313618,0
27375757,0
12509066,0
9504109,0
9709068,0
2940997,0
12262320,0
10084609,0
18028838,0
979207,0
843214,0
6307815,0
26674333,0
11080800,0
601064,0
8387817,0
1083125,0
11066875,0
3429645,0
25954906,0
546329,0
8228397,0
16834666,0
10473430,0
2801361,0
15573016,0
9664486,0
4607985,0
4776433,0
307612,0
11662013,0
1607018,0
2709309,0
2315431,0
16020916,0
7383416,0
652682,0
19122404,0
7732133,0
8769923,0
9051214,0
497181,0
15531805,0
1015480,0
69069,0
14543063,0
96763,0
12308151,0
45702,0
9240557,0
28117425,0
2281243,0
5778983,0
911527,0
2201979,0
12508484,0
15134766,0
4045632,0
5979563,0
18035907,0
2207463,0
12260707,0
2749609,0
10125352,0
2409137,0
1471568,0
47940,0
2229635,0
10432015,0
2601235,0
16219560,0
18552022,0
166720,0
13636329,0
2422498,0
26392840,0
2480777,0
12474524,0
9139436,0
12274903,0
10555368,0
677148,0
81444,0
16798228,0
19525779,0
9931815,0
90988,0
17193964,0
383256,0
1449551,0
673716,0
4058558,0
14435272,0
13778815,0
20285835,0
10741429,0
2909754,0
28459924,0
134290,0
3173347,0
303616,0
1017307,0
1031791,0
686542,0
23537807,0
12059663,0
25256022,0
4569976,0
14310944,0
5798893,0
15205203,0
1303073,0
20378057,0
13624635,0
12516628,0
455467,0
2467228,0
8758294,0
19637265,0
26961388,0
10060643,0
5304081,0
11453235,0
18719465,0
22116372,0
20532667,0
17169141,0
13678610,0
25004073,0
5573155,0
21191867,0
13126326,0
16904075,0
11348682,0
16569855,0
5927767,0
21216818,0
27980298,0
15743643,0
21034797,0
27434109,0
4929815,0
22823126,0
12807650,0
17322266,0
8789813,0
20410311,0
20008478,0
12861561,0
17646483,0
7199692,0
27422150,0
3095960,0
3040840,0
5350409,0
27751995,0
18221297,0
17964103,0
788950,0
23465223,0
18646362,0
19517346,0
8475145,0
1886159,0
25672260,0
9777067,0
9866862,0
17922358,0
24498221,0
21582674,0
1949584,0
19790971,0
17466721,0
17143234,0
6225214,0
5427047,0
24240637,0
4583981,0
22822302,0
7146853,0
6571469,0
9995314,0
5731028,0
15956179,0
18498547,0
11581362,0
12738012,0
28592646,0
20637830,0
27533386,0
1189471,0
25395643,0
2051124,0
3308302,0
3997006,0
19153219,0
16730686,0
9346606,0
25032410,0
3163883,0
17059127,0
28205753,0
15082688,0
28510906,0
21584862,0
11817714,0
22984128,0
9255018,0
12280393,0
27501293,0
21341462,0
27530962,0
18461617,0
5398997,0
6457494,0
19552315,0
4731748,0
15563546,0
10905378,0
15285403,0
7344511,0
16691009,0
3036835,0
10281816,0
11006951,0
10859865,0
20311740,0
24094301,0
198069,0
17784660,0
9382176,0
13808342,0
15998060,0
24618268,0
25944077,0
28139204,0
28475997,0
12350238,0
19823479,0
21358389,0
3119886,0
17373284,0
16550843,0
10123492,0
13978039,0
17746668,0
5069439,0
17982701,0
8837968,0
3231556,0
10541844,0
9677139,0
20265215,0
7412153,0
18258297,0
25545538,0
8346508,0
8117944,0
15426725,0
19537063,0
9394397,0
27051487,0
18046266,0
18418200,0
6023112,0
9814221,0
14756103,0
15485606,0
4092676,0
27740539,0
4052435,0
9095732,0
26974218,0
19018850,0
1492346,0
20647545,0
8854423,0
17921081,0
5441485,0
1080519,0
14914675,0
8944249,0
2624458,0
13714859,0
20064306,0
13747237,0
7258997,0
27306008,0
9245754,0
13415499,0
26753555,0
2945321,0
13155583,0
20349010,0
24900752,0
519333,0
8984199,0
5829099,0
4993581,0
5322239,0
17982139,0
15915198,0
3370838,0
20754312,0
4030767,0
20398795,0
13413696,0
14149638,0
14287549,0
22282240,0
3877884,0
6108651,0
22331562,0
7182205,0
7990763,0
2873371,0
5103160,0
20774253,0
20660971,0
1248826,0
23961495,0
19758699,0
26588971,0
13867933,0
21448026,0
21963930,0
14429281,0
26936537,0
22211488,0
15793721,0
3004769,0
10528918,0
28754602,0
20104020,0
16077481,0
136457,0
8817056,0
9701410,0
1099822,0
21037532,0
15228302,0
9380376,0
21909651,0
16717734,0
17648544,0
15753913,0
7259889,0
22513118,0
3205751,0
18355741,0
16638704,0
10172252,0
14910241,0
15708458,0
11384611,0
13822802,0
12505449,0
16290623,0
19943063,0
19147330,0
18129978,0
17479978,0
18395213,0
17392942,0
3407626,0
27499427,0
29116788,0
10128842,0
9843828,0
15093986,0
19099635,0
26119533,0
22236354,0
2886485,0
2434520,0
5548430,0
8162617,0
410586,0
27147563,0
24283325,0
5439720,0
15384846,0
19641501,0
9358405,0
24349402,0
6499244,0
23918553,0
27232955,0
27469596,0
17251459,0
13602488,0
20224741,0
24663283,0
8170478,0
27536536,0
8091268,0
19820804,0
19314846,0
15393494,0
16949824,0
27681681,0
7553911,0
10732476,0
7623896,0
8416517,0
21667956,0
25040693,0
29023113,0
14466355,0
5247954,0
22278515,0
9356105,0
28947710,0
24491126,0
19755185,0
5481554,0
18822502,0
6498079,0
10281182,0
11083412,0
6005713,0
3549651,0
17009322,0
27852169,0
2001763,0
18507554,0
17629210,0
28169699,0
14666817,0
4187118,0
12488104,0
8742938,0
427934,0
28486256,0
8313244,0
15708243,0
27406826,0
25440413,0
24834266,0
1084793,0
26459676,0
24899862,0
13766624,0
4682471,0
9062615,0
14922006,0
8732866,0
1078185,0
16611808,0
20654502,0
19664730,0
12622087,0
16415741,0
24938003,0
20769533,0
22036307,0
17139019,0
14486832,0
12398542,0
15729314,0
20434473,0
16116800,0
20634755,0
16723951,0
26112145,0
24431405,0
18290070,0
21681863,0
20925694,0
1098117,0
13964115,0
14215488,0
6505671,0
12998527,0
8450572,0
3943403,0
10956567,0
1009716,0
11698195,0
4896516,0
18199108,0
3600377,0
23769369,0
12317433,0
21640858,0
17134485,0
11026907,0
10512042,0
22085827,0
16754990,0
18623771,0
28552779,0
856494,0
16224803,0
20029706,0
13536812,0
4291254,0
2572814,0
9600790,0
25076502,0
23924596,0
26873823,0
9041360,0
20935792,0
11034513,0
19329970,0
1186739,0
6962535,0
17840201,0
16307010,0
27747720,0
20680088,0
19379132,0
4339243,0
25256938,0
7658667,0
16363717,0
7890973,0
19755702,0
21700832,0
26276834,0
28758106,0
8194675,0
15759579,0
4899910,0
25650073,0
9599053,0
21770593,0
12526520,0
9464549,0
23114966,0
11173957,0
22187814,0
6126544,0
4739172,0
19689982,0
19600642,0
20030610,0
28920533,0
5041761,0
19630614,0
3487382,0
26341053,0
14846150,0
3224446,0
15612970,0
18513548,0
28717286,0
5812279,0
15252261,0
28357332,0
20508542,0
28405382,0
9152395,0
28952769,0
28581442,0
19936916,0
1025135,0
17830752,0
7147408,0
1799111,0
18714651,0
7089559,0
8390641,0
24568290,0
27345935,0
4680920,0
21975229,0
7276482,0
17036156,0
21378283,0
804708,0
23964055,0
10260310,0
2020393,0
18026805,0
13541961,0
3063870,0
6744736,0
6610198,0
9589511,0
7846270,0
23115673,0
17529102,0
26091726,0
5384527,0
4775481,0
4809226,0
9877090,0
