`id`,`url`,`name`,`description`,`domain`
1743,https://api.github.com/repos/pennersr/django-allauth,django-allauth,Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party (social) account authentication.  Visit http://jug.gl for a live demo ...,Information systems
1799,https://api.github.com/repos/Theano/Theano,Theano,Theano is a Python library that allows you to define, optimize, and evaluate mathematical expressions involving multi-dimensional arrays efficiently. It can use GPUs and perform efficient symbolic differentiation.,Mathematics of computation
1819,https://api.github.com/repos/markjaquith/WP-TLC-Transients,WP-TLC-Transients,Information systems
1962,https://api.github.com/repos/Azure/azure-sdk-for-node,azure-sdk-for-node,Azure SDK for Node.js,Software and its engineering
1996,https://api.github.com/repos/devinross/tapkulibrary,tapkulibrary,tap + haiku = tapku, a well crafted open source iOS framework,Software and its engineering
2146,https://api.github.com/repos/mongodb/mongo-python-driver,mongo-python-driver,PyMongo - the Python driver for MongoDB,Information systems
2204,https://api.github.com/repos/commadelimited/jQuery-Mobile-Bootstrap-Theme,jQuery-Mobile-Bootstrap-Theme,A jQuery Mobile theme based on Twitter Bootstrap,Human-centered computing
2727,https://api.github.com/repos/jzaefferer/jquery-validation,jquery-validation,jQuery Validation Plugin,Human-centered computing
2746,https://api.github.com/repos/Jermolene/TiddlyWiki5,TiddlyWiki5,A reboot of TiddlyWiki for the next 25 years,Information systems
2864,https://api.github.com/repos/rickynils/scalacheck,scalacheck,A powerful tool for automatic unit testing,Software and its engineering
3052,https://api.github.com/repos/LemonBoy/ldm,ldm,A lightweight device mounter, with libudev as only dependency,Hardware
3386,https://api.github.com/repos/jwiegley/use-package,use-package,A use-package declaration for simplifying your .emacs,Human-centered computing
3430,https://api.github.com/repos/ccampbell/mousetrap,mousetrap,Simple library for handling keyboard shortcuts in Javascript,Human-centered computing
3457,https://api.github.com/repos/farbrausch/fr_public,fr_public,Farbrausch demo tools 2001-2011,Applied computing
3595,https://api.github.com/repos/derickbailey/backbone.marionette,backbone.marionette,Make your Backbone.js apps dance with a composite application architecture!,Software and its engineering
3623,https://api.github.com/repos/mperham/dalli,dalli,High performance memcached client for Ruby,Software and its engineering
3648,https://api.github.com/repos/gafiatulin/ml-class,ml-class,My solutions to programming exercises from Stanford online Machine Learning class.,Computing methodologies
3751,https://api.github.com/repos/stephenh/tessell,tessell,GWT model, presenter, view framework,Software and its engineering
3928,https://api.github.com/repos/imsky/holder,holder,Holder renders image placeholders entirely on the client side.,Human-centered computing
4003,https://api.github.com/repos/kennytm/iphone-private-frameworks,iphone-private-frameworks,Headers for private frameworks or undocumented interfaces of iPhoneOS 3.x or before (4.x is not supported yet).,Software and its engineering
4021,https://api.github.com/repos/basho/rebar,rebar,A sophisticated build-tool for Erlang projects that follows OTP principles.,Software and its engineering
4068,https://api.github.com/repos/jruby/jruby,jruby,JRuby, an implementation of Ruby on the JVM,Software and its engineering
4095,https://api.github.com/repos/elasticsearch/elasticsearch,elasticsearch,Open Source, Distributed, RESTful Search Engine,Computing methodologies
4267,https://api.github.com/repos/pods-framework/pods,pods,Pods CMS Framework is a Content Development Framework for WordPress,Information systems
4276,https://api.github.com/repos/liu21st/thinkphp,thinkphp,Software and its engineering
4281,https://api.github.com/repos/liquidz/misaki,misaki,Jekyll inspired static site generator in Clojure,Software and its engineering
4346,https://api.github.com/repos/rsms/peertalk,peertalk,iOS and OS X Cocoa library for communicating over USB and TCP,Hardware
4432,https://api.github.com/repos/angular/angularjs-batarang,angularjs-batarang,AngularJS WebInspector Extension for Chrome,Software and its engineering
4473,https://api.github.com/repos/mwunsch/weary,weary,A framework and DSL for building RESTful web service clients,Information systems
4654,https://api.github.com/repos/RailsApps/rails-composer,rails-composer,Rails Composer. The Rails generator on steroids for starter apps.,Software and its engineering
4711,https://api.github.com/repos/github/hubot-scripts,hubot-scripts,optional scripts for hubot, opt in via hubot-scripts.json,Applied computing
4846,https://api.github.com/repos/wycats/handlebars.js,handlebars.js,Theory of computation
4929,https://api.github.com/repos/nicolasgramlich/AndEngine,AndEngine,Free Android 2D OpenGL Game Engine,Software and its engineering
5124,https://api.github.com/repos/ServiceStack/ServiceStack,ServiceStack,Thoughtfully architected, obscenely fast, thoroughly enjoyable web services for all,Information systems
5161,https://api.github.com/repos/OscarGodson/EpicEditor,EpicEditor,EpicEditor is an embeddable JavaScript Markdown editor with split fullscreen editing, live previewing, automatic draft saving, offline support, and more. For developers, it offers a robust API, can be easily themed, and allows you to swap out the bundled ,Applied computing
5184,https://api.github.com/repos/django-haystack/django-haystack,django-haystack,Modular search for Django,Information systems
5455,https://api.github.com/repos/rg3/youtube-dl,youtube-dl,Small command-line program to download videos from YouTube.com and other video sites,Applied computing
5478,https://api.github.com/repos/lokesh/lightbox2,lightbox2,The original lightbox script, finally on github.,Human-centered computing
5497,https://api.github.com/repos/Lokaltog/vim-easymotion,vim-easymotion,Vim motions on speed!,Human-centered computing
5626,https://api.github.com/repos/sampsyo/beets,beets,music library manager and MusicBrainz tagger,Information systems
5629,https://api.github.com/repos/cyberdelia/django-pipeline,django-pipeline,Pipeline is an asset packaging library for Django.,Software and its engineering
5874,https://api.github.com/repos/clojure/clojure,clojure,The Clojure programming language,Software and its engineering
6009,https://api.github.com/repos/sitaramc/gitolite,gitolite,Hosting git repositories -- Gitolite allows you to setup git hosting on a central server, with very fine-grained access control and many (many!) more powerful features.  [IMPORTANT: please click and read the WIKI link above before submitting issues, pull ,Information systems
6053,https://api.github.com/repos/soundcloud/waveformjs,waveformjs,Waveform.js makes drawing SoundCloud waveforms simple and lets you style and color them the way you want it,Human-centered computing
6223,https://api.github.com/repos/sqlmapproject/sqlmap,sqlmap,Automatic SQL injection and database takeover tool,Security and privacy
6313,https://api.github.com/repos/jquery/jquery,jquery,jQuery JavaScript Library,Software and its engineering
6413,https://api.github.com/repos/twitter/commons,commons,Twitter common libraries for python and the JVM,Networks
6848,https://api.github.com/repos/rails/jbuilder,jbuilder,Create JSON structures via a Builder-style DSL,Software and its engineering
6931,https://api.github.com/repos/toptensoftware/PetaPoco,PetaPoco,A tiny ORM-ish thing for your POCO's,Information systems
6978,https://api.github.com/repos/paradoxxxzero/gnome-shell-system-monitor-applet,gnome-shell-system-monitor-applet,Display system informations in gnome shell status bar, such as memory usage, cpu usage, network rates‰Û_,Human-centered computing
7059,https://api.github.com/repos/jnordberg/wintersmith,wintersmith,A flexible static site generator,Networks
7149,https://api.github.com/repos/caolan/jam,jam,The JavaScript package manager - using a browser-focused and RequireJS compatible repository,Networks
7233,https://api.github.com/repos/sunspot/sunspot,sunspot,Solr-powered search for Ruby objects,Software and its engineering
7317,https://api.github.com/repos/fernandezpablo85/scribe-java,scribe-java,Simple OAuth library for Java,Security and privacy
7756,https://api.github.com/repos/appcelerator/alloy,alloy,Alloy is an MVC framework for Titanium which is developed by Appcelerator.,Software and its engineering
7836,https://api.github.com/repos/yusuke/twitter4j,twitter4j,Twitter4J is an open-sourced, mavenized and Google App Engine safe Java library for the Twitter API which is released under the Apache License 2.0.,Networks
7982,https://api.github.com/repos/sstephenson/prototype,prototype,Prototype JavaScript framework,Software and its engineering
8127,https://api.github.com/repos/matplotlib/matplotlib,matplotlib,Mathematics of computation
8184,https://api.github.com/repos/scrooloose/syntastic,syntastic,Syntax checking hacks for vim,Human-centered computing
8304,https://api.github.com/repos/apache/cassandra,cassandra,Mirror of Apache Cassandra (incubating),Information systems
8329,https://api.github.com/repos/enormego/EGOTableViewPullRefresh,EGOTableViewPullRefresh,A similar control to the pull down to refresh control created by atebits in Tweetie 2.,Human-centered computing
8390,https://api.github.com/repos/bagder/curl,curl,Curl is a tool and libcurl is a library for transferring data with URL syntax, supporting FTP, FTPS, HTTP, HTTPS, GOPHER, TFTP, SCP, SFTP, TELNET, DICT, LDAP, LDAPS, FILE, IMAP, SMTP, POP3, RTSP and RTMP. libcurl offers a myriad of powerful features,Networks
8525,https://api.github.com/repos/LearnBoost/stylus,stylus,Expressive, robust, feature-rich CSS language built for nodejs,Software and its engineering
8566,https://api.github.com/repos/nsf/gocode,gocode,An autocompletion daemon for the Go programming language,Software and its engineering
8833,https://api.github.com/repos/ryanmcgrath/twython,twython,An up to date, pure Python wrapper for the Twitter API. Supports Twitter's main API, Twitter's search API, and using OAuth with Twitter.,Software and its engineering
8892,https://api.github.com/repos/MilkBowl/Vault,Vault,Vault of common API's for Bukkit Plugins,Software and its engineering
9259,https://api.github.com/repos/rails/arel,arel,A Relational Algebra,Mathematics of computation
9383,https://api.github.com/repos/muennich/urxvt-perls,urxvt-perls,Perl extensions for the rxvt-unicode terminal emulator,Software and its engineering
9682,https://api.github.com/repos/remy/nodemon,nodemon,Monitor for any changes in your node.js application and automatically restart the server - perfect for development,Human-centered computing
9709,https://api.github.com/repos/filamentgroup/Southstreet,Southstreet,Filament Group's core tools & workflow for delivering rich cross-device web applications,Networks
9713,https://api.github.com/repos/ibdknox/Korma,Korma,Tasty SQL for Clojure.,Information systems
9716,https://api.github.com/repos/trentrichardson/jQuery-Timepicker-Addon,jQuery-Timepicker-Addon,Adds a timepicker to jQueryUI Datepicker,Human-centered computing
9951,https://api.github.com/repos/flatiron/flatiron,flatiron,Framework components for node.js and the browser,Software and its engineering
10070,https://api.github.com/repos/symfony/symfony-docs,symfony-docs,The Symfony documentation,General and reference
10197,https://api.github.com/repos/ariya/esprima,esprima,ECMAScript parsing infrastructure for multipurpose analysis,Software and its engineering
10462,https://api.github.com/repos/openstack/tempest,tempest,Software and its engineering
10512,https://api.github.com/repos/danielamitay/DAKeyboardControl,DAKeyboardControl,DAKeyboardControl is a collection of UIView subclasses that allow the user to drag the UIKeyboard down from a view.,Human-centered computing
10579,https://api.github.com/repos/enormego/EGOCache,EGOCache,Fast Caching for Objective-C (iPhone & Mac Compatible),Hardware
10594,https://api.github.com/repos/eleybourn/Book-Catalogue,Book-Catalogue,A book cataloging tool for Android phones. ,Applied computing
10649,https://api.github.com/repos/sgrebnov/jqmobile-metro-theme,jqmobile-metro-theme,My attempt to implement Metro theme for jQuery Mobile,Human-centered computing
10686,https://api.github.com/repos/simsicon/weibo_2,weibo_2,A ruby gem for sina weibo oauth2 api, with examples, and it actually works.,Security and privacy
10798,https://api.github.com/repos/php-fig/fig-standards,fig-standards,Standards either proposed or approved by the Framework Interop Group,General and reference
10912,https://api.github.com/repos/mruby/mruby,mruby,Lightweight Ruby,Software and its engineering
11067,https://api.github.com/repos/olabini/clj-gremlin,clj-gremlin,A Clojure implementation of the Gremlin query language.,Software and its engineering
11435,https://api.github.com/repos/hbons/SparkleShare,SparkleShare,SparkleShare is an Open Source collaboration and sharing tool that is designed to keep things simple and to stay out of your way. http://www.sparkleshare.org/,Human-centered computing
11820,https://api.github.com/repos/rembo10/headphones,headphones,Automatic music downloader for SABnzbd,Information systems
11902,https://api.github.com/repos/fabpot/Silex,Silex,The PHP micro-framework based on the Symfony2 Components ,Software and its engineering
12031,https://api.github.com/repos/rubinius/rubinius,rubinius,Rubinius, the Ruby Environment,Software and its engineering
12257,https://api.github.com/repos/hayamiz/twittering-mode,twittering-mode,An Emacs major mode for Twitter,Human-centered computing
12258,https://api.github.com/repos/plataformatec/devise,devise,Flexible authentication solution for Rails with Warden.,Security and privacy
12830,https://api.github.com/repos/rvm/rvm,rvm,Ruby enVironment (Version) Manager ( rvm ) ~ Monitor GitHub Issues ( https://github.com/rvm/rvm/issues/ ) for bug reports and fixes.  Fundraiser for mpapis: https://www.bountysource.com/fundraisers/489-rvm-2-0,Software and its engineering
12831,https://api.github.com/repos/coleifer/peewee,peewee,a small orm, with support for postgresql, mysql and sqlite,Information systems
12885,https://api.github.com/repos/sferik/rails_admin,rails_admin,RailsAdmin is a Rails engine that provides an easy-to-use interface for managing your data,Human-centered computing
13235,https://api.github.com/repos/visionmedia/page.js,page.js,Micro client-side router inspired by the Express router,Networks
13436,https://api.github.com/repos/PyTables/PyTables,PyTables,PyTables is a package for managing hierarchical datasets and designed to efficiently and easily cope with extremely large amounts of data.  This a git-svn clone of the Pro version recently released under a BSD-flavored license by Francesc Alted!,Information systems
13718,https://api.github.com/repos/caelum/vraptor,vraptor,Simple Java Web MVC Framework,Software and its engineering
13747,https://api.github.com/repos/ammmir/node-oauth2-provider,node-oauth2-provider,A simple customizable OAuth 2.0 provider (server) for node.js.,Security and privacy
13929,https://api.github.com/repos/tpope/vim-pathogen,vim-pathogen,pathogen.vim: manage your runtimepath,Human-centered computing
14061,https://api.github.com/repos/quirkey/sammy,sammy,Sammy is a tiny javascript framework built on top of jQuery, It's RESTful Evented Javascript.,Software and its engineering
14098,https://api.github.com/repos/radare/radare2,radare2,unix-like reverse engineering framework and commandline tools,Applied computing
14622,https://api.github.com/repos/raspberrypi/firmware,firmware,Hardware
14763,https://api.github.com/repos/JamieAppleseed/selectToAutocomplete,selectToAutocomplete,Turns any select tag into an autocomplete field with weighted options, synonyms and loose matching,Human-centered computing
14952,https://api.github.com/repos/brianc/node-postgres,node-postgres,Non-blocking PostgreSQL client for node.js. Pure JavaScript and native libpq bindings.,Information systems
15433,https://api.github.com/repos/zsh-users/antigen,antigen,A plugin manager for zsh, inspired by oh-my-zsh and vundle.,Human-centered computing
15728,https://api.github.com/repos/resmo/git-ftp,git-ftp,Git powered FTP client written as shell script.,Networks
15756,https://api.github.com/repos/skwp/dotfiles,dotfiles,YADR - The best vim,git,zsh plugins and the cleanest vimrc you've ever seen,Human-centered computing
15762,https://api.github.com/repos/woothemes/woocommerce,woocommerce,An open source eCommerce plugin for WordPress created by WooThemes.,Applied computing
16113,https://api.github.com/repos/mtabini/AFKPageFlipper,AFKPageFlipper,A simple 3-D page flip transition for iOS devices,Human-centered computing
16376,https://api.github.com/repos/charlieroberts/Gibber,Gibber,Live coding music environment built on audiolib.js,Applied computing
16462,https://api.github.com/repos/mojombo/grit,grit,Grit gives you object oriented read/write access to Git repositories via Ruby.,Software and its engineering
16639,https://api.github.com/repos/thoughtbot/high_voltage,high_voltage,Easily include static pages in your Rails app.,Software and its engineering
16820,https://api.github.com/repos/stubbornella/oocss,oocss,Object Oriented CSS Framework,Software and its engineering
16836,https://api.github.com/repos/fikovnik/ShiftIt,ShiftIt,Managing windows size and position in OSX,Human-centered computing
17000,https://api.github.com/repos/stefanfoulis/django-filer,django-filer,File and Image Management Application for django,Applied computing
17165,https://api.github.com/repos/sstephenson/ruby-build,ruby-build,Compile and install Ruby,Human-centered computing
17411,https://api.github.com/repos/WebKit/webkit,webkit,Unofficial mirror of the WebKit SVN repository,Information systems
17730,https://api.github.com/repos/ervandew/supertab,supertab,Perform all your vim insert mode completions with Tab,Human-centered computing
17742,https://api.github.com/repos/ncb000gt/node.bcrypt.js,node.bcrypt.js,bcrypt for NodeJs,Security and privacy
17798,https://api.github.com/repos/rentzsch/mogenerator,mogenerator,Core Data code generation,Software and its engineering
18003,https://api.github.com/repos/mongolab/dex,dex,Index and query analyzer for MongoDB: compares MongoDB log files and index entries to make index recommendations,Information systems
18045,https://api.github.com/repos/fgnass/spin.js,spin.js,A spinning activity indicator,Human-centered computing
18090,https://api.github.com/repos/KnpLabs/KnpPaginatorBundle,KnpPaginatorBundle,SEO friendly Symfony2 paginator to sort and paginate,Information systems
18250,https://api.github.com/repos/qhm123/tinybo,tinybo,Networks
18571,https://api.github.com/repos/Gazler/githug,githug,Git your game on!,Human-centered computing
18601,https://api.github.com/repos/aseemk/json5,json5,JSON for the ES5 era. (Not an official successor to JSON.),Software and its engineering
18941,https://api.github.com/repos/theleagueof/raleway,raleway,An elegant sans-serif, designed in a single thin weight.,Human-centered computing
19019,https://api.github.com/repos/Pylons/pylons,pylons,Pylons Framework, community maintained with guidance/assistance from the Pylons Project. Merged with repoze.bfg for Pyramid framework.,Software and its engineering
19030,https://api.github.com/repos/ivmai/bdwgc,bdwgc,The Boehm-Demers-Weiser conservative C/C++ Garbage Collector (libgc, bdwgc, boehmgc) ,Computing methodologies
19375,https://api.github.com/repos/joshmarshall/jsonrpclib,jsonrpclib,A Python JSON-RPC over HTTP that mirrors xmlrpclib syntax.,Networks
19579,https://api.github.com/repos/schaloner/deadbolt-2,deadbolt-2,An authorization module for the Play framework,Security and privacy
19615,https://api.github.com/repos/couchone/pages,pages,A CouchApp Wiki,Information systems
19626,https://api.github.com/repos/OpenEmu/OpenEmu,OpenEmu,openemu,Human-centered computing
19640,https://api.github.com/repos/JoelBesada/scrollpath,scrollpath,A plugin for defining custom scroll paths.,Human-centered computing
19806,https://api.github.com/repos/rstacruz/jquery.transit,jquery.transit,Super-smooth CSS3 transformations and transitions for jQuery,Human-centered computing
19996,https://api.github.com/repos/nathansmith/960-Grid-System,960-Grid-System,The 960 Grid System is an effort to streamline web development workflow.,Software and its engineering
20138,https://api.github.com/repos/samvermette/SVPullToRefresh,SVPullToRefresh,Give pull-to-refresh & infinite scrolling to any UIScrollView with 1 line of code. ,Human-centered computing
20678,https://api.github.com/repos/firnsy/barnyard2,barnyard2,Barnyard2 is a dedicated spooler for Snort's unified2 binary output format.,Software and its engineering
21218,https://api.github.com/repos/imulus/retinajs,retinajs,JavaScript and LESS helpers for rendering high-resolution image variants,Software and its engineering
21274,https://api.github.com/repos/sstephenson/rbenv,rbenv,Groom your app‰Ûªs Ruby environment,Software and its engineering
21530,https://api.github.com/repos/spree-contrib/spree_active_shipping,spree_active_shipping,Spree integration for Shopify's active_shipping gem.,Software and its engineering
21621,https://api.github.com/repos/osclass/OSClass,OSClass,With OSClass, get your own  classifieds site for free. Build your own OSClass installation and start advertising real estate, jobs or whatever you want- in minutes!,Applied computing
22086,https://api.github.com/repos/LeaVerou/animatable,animatable,One property, two values, endless possiblities,Human-centered computing
22321,https://api.github.com/repos/cplusplus/draft,draft,C++ standards drafts,General and reference
22528,https://api.github.com/repos/justinfrench/formtastic,formtastic,A Rails form builder plugin with semantically rich and accessible markup.,Human-centered computing
22551,https://api.github.com/repos/crossbario/autobahn-python,AutobahnPython,WebSocket & WAMP for Python on Twisted and asyncio,Networks
22772,https://api.github.com/repos/BBC-News/wally,wally,Cucumber feature viewer and navigator,Human-centered computing
23085,https://api.github.com/repos/pkrumins/node-lazy,node-lazy,lazy lists for node.js,Software and its engineering
23122,https://api.github.com/repos/steipete/PSStackedView,PSStackedView,open source implementation of Twitter/iPad stacked ui - done right.,Human-centered computing
23238,https://api.github.com/repos/ginatrapani/todo.txt-cli,todo.txt-cli,A simple and extensible shell script for managing your todo.txt file.,Human-centered computing
23301,https://api.github.com/repos/thoughtbot/laptop,laptop,A shell script which turns your OS X laptop into an awesome web development machine.,Human-centered computing
23429,https://api.github.com/repos/robrighter/node-xml,node-xml,An xml parser for node.js written in javascript.,Software and its engineering
23605,https://api.github.com/repos/addyosmani/basket.js,basket.js,A proof-of-concept script loader for caching/loading scripts with localStorage,Information systems
23670,https://api.github.com/repos/bumptech/stud,stud,The Scalable TLS Unwrapping Daemon,Networks
23834,https://api.github.com/repos/jnicklas/capybara,capybara,Acceptance test framework for web applications,Software and its engineering
23888,https://api.github.com/repos/cyrilmottier/GreenDroid,GreenDroid,GreenDroid is a development library for the Android platform. It makes UI developments easier and consistent through your applications.,Software and its engineering
24177,https://api.github.com/repos/agiliq/Django-Socialauth,Django-Socialauth,Allows logging in via Facebook, Yahoo, Gmail, Twitter and Openid,Security and privacy
24213,https://api.github.com/repos/xiehuc/pidgin-lwqq,pidgin-lwqq,a pidgin plugin based on lwqq, a excellent safe useful library for webqq protocol,Networks
24326,https://api.github.com/repos/getify/LABjs,LABjs,Loading And Blocking JavaScript: On-demand parallel loader for JavaScript with execution order dependencies,Information systems
24522,https://api.github.com/repos/daneden/Basehold.it,Basehold.it,I gave that bitch a baseline. Bitches love baselines.,Software and its engineering
24559,https://api.github.com/repos/yesodweb/yesod,yesod,A RESTful Haskell web framework built on WAI.,Software and its engineering
24603,https://api.github.com/repos/joyent/http-parser,http-parser,http request/response parser for c,Networks
24889,https://api.github.com/repos/notahat/machinist,machinist,Fixtures aren't fun. Machinist is.,Software and its engineering
24960,https://api.github.com/repos/inuyaksa/jquery.nicescroll,jquery.nicescroll,nicescroll plugin for jquery - scrollbars like iphone/ipad,Human-centered computing
25016,https://api.github.com/repos/millermedeiros/amd-utils,amd-utils,modular JavaScript utilities written in the AMD format,Software and its engineering
25359,https://api.github.com/repos/rdegges/django-skel,django-skel,A modern Django (1.4) project skeleton.,Software and its engineering
25380,https://api.github.com/repos/kanaka/noVNC,noVNC,VNC client using HTML5 (Web Sockets, Canvas) with encryption (wss://) support.,Networks
25986,https://api.github.com/repos/nodejitsu/require-analyzer,require-analyzer,Determine the set of requirements for a given node.js file, directory tree, or module,Software and its engineering
26624,https://api.github.com/repos/celery/celery,celery,Distributed Task Queue (development branch),Computing methodologies
26636,https://api.github.com/repos/mongodb/mongo-hadoop,mongo-hadoop,MongoDB adapter for Hadoop,Information systems
26688,https://api.github.com/repos/Supervisor/supervisor,supervisor,Supervisor process control system for UNIX,Hardware
27046,https://api.github.com/repos/forcedotcom/SalesforceMobileSDK-iOS,SalesforceMobileSDK-iOS,Force.com mobile SDK for iOS applications,Software and its engineering
27194,https://api.github.com/repos/pbatard/rufus,rufus,The Reliable USB Formatting Utility,Hardware
28009,https://api.github.com/repos/eligrey/FileSaver.js,FileSaver.js,A saveAs() FileSaver implementation,Human-centered computing
28054,https://api.github.com/repos/bitwiseshiftleft/sjcl,sjcl,Stanford Javascript Crypto Library,Security and privacy
28069,https://api.github.com/repos/collectiveidea/awesome_nested_set,awesome_nested_set,An awesome replacement for acts_as_nested_set and better_nested_set.,Information systems
28204,https://api.github.com/repos/Valloric/YouCompleteMe,YouCompleteMe,A code-completion engine for Vim,Software and its engineering
28556,https://api.github.com/repos/detro/ghostdriver,ghostdriver,Ghost Driver is an implementation of the Remote WebDriver Wire protocol, using PhantomJS as back-end,Networks
28576,https://api.github.com/repos/phayes/geoPHP,geoPHP,Advanced geometry operations in PHP,Applied computing
29172,https://api.github.com/repos/harthur/brain,brain,Neural network library,Computing methodologies
29762,https://api.github.com/repos/RobinHerbots/jquery.inputmask,jquery.inputmask,jQuery Input Mask plugin,Human-centered computing
29914,https://api.github.com/repos/redis/redis-rb,redis-rb,A Ruby client library for Redis,Information systems
29991,https://api.github.com/repos/swannodette/mori,mori,ClojureScript's persistent data structures and supporting API from the comfort of vanilla JavaScript,Information systems
30402,https://api.github.com/repos/archlinuxarm/PKGBUILDs,PKGBUILDs,PKGBUILDs modified to build on Arch Linux ARM,Applied computing
30653,https://api.github.com/repos/kesiev/magaka,magaka,A digital magazine framework in HTML/Javascript.,Human-centered computing
30738,https://api.github.com/repos/newsapps/beeswithmachineguns,beeswithmachineguns,A utility for arming (creating) many bees (micro EC2 instances) to attack (load test) targets (web applications).,Software and its engineering
30761,https://api.github.com/repos/rchouinard/phpass,phpass,PHP Password Library: Easy, secure password management for PHP,Security and privacy
31283,https://api.github.com/repos/adamdbradley/foresight.js,foresight.js,Foresight.js gives webpages the ability to tell if the user's device is capable of viewing high-resolution images (such as the 3rd generation iPad) before the image is requested from the server. Additionally, it judges if the user's device currently has a,Human-centered computing
31366,https://api.github.com/repos/nostra13/Android-Universal-Image-Loader,Android-Universal-Image-Loader,This project aims to provide a reusable instrument for asynchronous image loading, caching and displaying.,Human-centered computing
32023,https://api.github.com/repos/sparklemotion/nokogiri,nokogiri,Nokogiri (ŽÜü) is an HTML, XML, SAX, and Reader parser with XPath and CSS selector support.,Software and its engineering
32107,https://api.github.com/repos/Miserlou/DirtyShare,DirtyShare,Peer to Peer Filesharing in Pure Javascript With Node.js and Socket.io,Networks
32638,https://api.github.com/repos/stefankroes/ancestry,ancestry,Organise ActiveRecord model into a tree structure,Computing methodologies
33227,https://api.github.com/repos/jrburke/require-jquery,require-jquery,A RequireJS+jQuery sample project,Software and its engineering
33565,https://api.github.com/repos/binarylogic/authlogic,authlogic,A simple model based ruby authentication solution.,Security and privacy
33656,https://api.github.com/repos/Eonblast/Emysql,Emysql,Erlang MySQL driver,Information systems
34288,https://api.github.com/repos/sindresorhus/screenfull.js,screenfull.js,Simple wrapper for cross-browser usage of the JavaScript Fullscreen API,Human-centered computing
35473,https://api.github.com/repos/r8/vagrant-lamp,vagrant-lamp,My default LAMP development stack for Vagrant,Software and its engineering
36313,https://api.github.com/repos/nineties/amber,amber,A Language for High-Level Programming with Self-Extension,Software and its engineering
36413,https://api.github.com/repos/flyerhzm/bullet,bullet,A rails plugin/gem to kill N+1 queries and unused eager loading,Information systems
36591,https://api.github.com/repos/elsassph/nme-tilelayer,nme-tilelayer,Lightweight wrapper over NME's powerful but lowlevel 'drawTiles', with bitmap-based fallback for Flash/JS.,Software and its engineering
36713,https://api.github.com/repos/mongodb/node-mongodb-native,node-mongodb-native,Mongo DB Native NodeJS Driver,Information systems
37623,https://api.github.com/repos/iui/iUI,iUI,iUI Web Framework,Software and its engineering
37778,https://api.github.com/repos/karma4u101/Templating-With-Twitter-Bootstrap,Templating-With-Twitter-Bootstrap,Scala Lift templating example with Bootstrap front-end toolkit from Twitter,Software and its engineering
38658,https://api.github.com/repos/iatek/jquery-socialist,jquery-socialist,A jQuery social media plugin that aggregates and combines content from Facebook, Twitter, LinkedIn, Youtube and others... Display feeds from multiple social networks in elegant layouts.,Human-centered computing
38744,https://api.github.com/repos/arangodb/arangodb,ArangoDB,ArangoDB is a native multi-model database with flexible data models for documents, graphs, and key-values. Build high performance applications using a convenient SQL-like query language or JavaScript extensions.,Information systems
39027,https://api.github.com/repos/ruboto/ruboto,ruboto,A platform for developing apps using JRuby on Android.,Software and its engineering
