`id`;`domain`
9862004;Software and its engineering
9865676;General and reference
9866862;General and reference
9877090;Networks
9893161;Software and its engineering
9895007;Applied computing
9906217;Human-centered computing
9908329;Human-centered computing
9912292;Applied computing
9930325;General and reference
9931815;Software and its engineering
9961002;Software and its engineering
9975034;Human-centered computing
9982219;Software and its engineering
9983686;Applied computing
9995314;Software and its engineering
10053600;Software and its engineering
10060643;Software and its engineering
10066441;Software and its engineering
10084609;Software and its engineering
10084678;Applied computing
10123492;Applied computing
10125352;General and reference
10128842;Empty
10138664;Software and its engineering
10172252;Empty
10172529;Networks
10188194;Networks
10192555;Networks
10196307;Applied computing
10199826;General and reference
10233169;Applied computing
10258995;Applied computing
10260310;Information systems
10260382;Software and its engineering
10280298;Empty
10281182;Empty
10281816;Networks
10282819;Information systems
10296656;General and reference
10301817;General and reference
10358518;Information systems
10377821;General and reference
10379711;Software and its engineering
10388177;General and reference
10396798;Information systems
10410843;Applied computing
10412281;Applied computing
10425716;Human-centered computing
10432015;Applied computing
10435441;Applied computing
10435922;Human-centered computing
10447564;Human-centered computing
10451754;Theory of Computation
10464490;Human-centered computing
10473430;General and reference
10512042;Theory of Computation
10520061;Applied computing
10521722;Software and its engineering
10526188;Empty
10528918;Applied computing
10541844;Applied computing
10548198;Human-centered computing
10555368;Applied computing
10574931;Software and its engineering
10576004;Human-centered computing
10585250;Software and its engineering
10589306;Networks
10631290;Software and its engineering
10660095;Software and its engineering
10732476;General and reference
10733538;Security and privacy
10741429;Applied computing
10752463;Applied computing
10773454;Applied computing
10777706;Software and its engineering
10784470;General and reference
10803994;Human-centered computing
10812016;Information systems
10814377;Applied computing
10815238;Software and its engineering
10817458;Applied computing
10819648;Security and privacy
10829089;Software and its engineering
10829314;Human-centered computing
10832091;Human-centered computing
10832897;Networks
10832960;Applied computing
10834528;Software and its engineering
10854850;General and reference
10859865;Software and its engineering
10905378;Applied computing
10910878;Computing methodologies
10936889;Networks
10947458;Information systems
10953007;Networks
10955983;Information systems
10956038;Software and its engineering
10956567;Networks
10963081;Software and its engineering
10964976;Software and its engineering
11001304;Information systems
11006951;Applied computing
11026907;Human-centered computing
11034513;Applied computing
11061859;Software and its engineering
11066875;Software and its engineering
11072255;Software and its engineering
11080800;Human-centered computing
11083412;Empty
11095632;Human-centered computing
11107988;General and reference
11120703;Software and its engineering
11127510;Software and its engineering
11132347;General and reference
11139593;General and reference
11144636;General and reference
11165808;Networks
11173957;Applied computing
11175147;Human-centered computing
11176827;Human-centered computing
11182376;Security and privacy
11183490;Human-centered computing
11197300;Software and its engineering
11212499;Software and its engineering
11227723;Human-centered computing
11228451;General and reference
11238565;General and reference
11265367;Software and its engineering
11291526;Networks
11297052;Software and its engineering
11318999;Networks
11323491;Software and its engineering
11338993;Software and its engineering
11348682;Applied computing
11362536;Human-centered computing
11384611;Software and its engineering
11402707;Human-centered computing
11453235;Networks
11467831;General and reference
11473240;Human-centered computing
11474560;Applied computing
11494393;General and reference
11512622;Networks
11537177;Human-centered computing
11554847;General and reference
11570176;Theory of Computation
11581362;Empty
11588385;Applied computing
11605642;Software and its engineering
11622535;General and reference
11625417;Information systems
11662013;Applied computing
11668604;Networks
11680693;General and reference
11698195;Software and its engineering
11702237;Software and its engineering
11704557;Software and its engineering
11706023;Information systems
11707880;Information systems
11720517;Software and its engineering
11733127;General and reference
11735060;Applied computing
11737051;General and reference
11744765;Software and its engineering
11746264;Human-centered computing
11753236;Networks
11761587;Software and its engineering
11784159;Human-centered computing
11785544;Human-centered computing
11797084;Empty
11802012;General and reference
11817714;Human-centered computing
11850935;Applied computing
11854803;Information systems
11912097;Software and its engineering
11924541;Software and its engineering
12059663;Empty
12092942;Networks
12170217;Human-centered computing
12192051;Information systems
12197208;Applied computing
12226983;Software and its engineering
12229395;Software and its engineering
12260707;Networks
12262320;Networks
12274903;Software and its engineering
12280393;Applied computing
12308151;Information systems
12313618;Software and its engineering
12315617;General and reference
12316998;General and reference
12317433;Empty
12326365;Applied computing
12350238;Software and its engineering
12398542;Applied computing
12402890;General and reference
12449377;Security and privacy
12474524;Software and its engineering
12488104;Empty
12505449;Applied computing
12508484;General and reference
12509066;Software and its engineering
12516628;Information systems
12520304;Information systems
12526520;Information systems
12582238;Software and its engineering
12586102;Applied computing
12589909;Software and its engineering
12622087;Networks
12630000;Software and its engineering
12653317;Applied computing
12666384;Networks
12670029;Information systems
12682828;Applied computing
12682853;Software and its engineering
12715530;Applied computing
12719568;Applied computing
12738012;Empty
12740796;Human-centered computing
12746037;Software and its engineering
12749140;Software and its engineering
12761803;Applied computing
12798077;Software and its engineering
12806676;Networks
12807650;Applied computing
12814859;Software and its engineering
12821674;Information systems
12861561;Software and its engineering
12878383;Applied computing
12908987;Human-centered computing
12967267;Hardware
12998527;Hardware
13061306;Human-centered computing
13071706;Software and its engineering
13082203;Human-centered computing
13095216;Applied computing
13097260;Software and its engineering
13126326;Applied computing
13128433;Applied computing
13155583;Empty
13334964;Applied computing
13368782;Human-centered computing
13393204;Software and its engineering
13398866;Human-centered computing
13403042;Software and its engineering
13413696;Software and its engineering
13415499;Applied computing
13430369;Applied computing
13454056;Software and its engineering
13462180;Software and its engineering
13464028;Applied computing
13480659;Networks
13481226;Applied computing
13489032;Software and its engineering
13490952;Human-centered computing
13494877;Software and its engineering
13509074;Software and its engineering
13520780;Security and privacy
13523497;Software and its engineering
13536812;Applied computing
13537757;Applied computing
13539138;Software and its engineering
13541961;Applied computing
13544235;Software and its engineering
13570263;Software and its engineering
13585659;Applied computing
13593152;Applied computing
13595364;Applied computing
13602488;Information systems
13603046;Empty
13613053;General and reference
13615253;Software and its engineering
13621454;Information systems
13624635;Applied computing
13635889;Applied computing
13636329;Software and its engineering
13636760;Applied computing
13636819;Applied computing
13640327;Software and its engineering
13642463;Applied computing
13655055;Software and its engineering
13664602;Software and its engineering
13678610;Applied computing
13679102;Software and its engineering
13680016;Software and its engineering
13685691;Applied computing
13714859;Software and its engineering
13719308;Applied computing
13719548;Human-centered computing
13735930;Applied computing
13737011;Applied computing
13740270;Human-centered computing
13742311;Human-centered computing
13747237;Software and its engineering
13747894;Software and its engineering
13759969;Applied computing
13766624;Applied computing
13778815;Information systems
13808342;Software and its engineering
13822802;Applied computing
13837159;Networks
13865588;Applied computing
13867933;Hardware
13964115;Empty
13978039;General and reference
14000694;Software and its engineering
14027141;Software and its engineering
14057734;Applied computing
14101318;Human-centered computing
14116012;Software and its engineering
14149638;Applied computing
14179437;General and reference
14210902;Human-centered computing
14215488;Not found
14263163;Software and its engineering
14286406;Applied computing
14287549;Applied computing
14310944;Human-centered computing
14328878;Applied computing
14429281;General and reference
14435272;Applied computing
14457963;Information systems
14466355;Empty
14486832;Information systems
